GqlToGremlin	janus	0.1	8	24.9300	537142
GqlToGremlin	janus	0.1	4	11.1110	784511
GqlToGremlin	janus	0.1	5	18.8720	1079722
GqlToGremlin	janus	0.1	3	FAILED	
GqlToGremlin	janus	0.1	1	FAILED	
GqlToGremlin	janus	0.1	6	FAILED	
GqlToGremlin	janus	0.1	7	19.1810	1628132
GqlToGremlin	janus	0.1	2	FAILED	
GqlToGremlin	janus	0.1	9	FAILED	
GqlToGremlin	janus	0.1	4	11.9660	784511
GqlToGremlin	janus	0.1	8	23.9700	537142
GqlToGremlin	janus	0.1	2	FAILED	
GqlToGremlin	janus	0.1	6	FAILED	
GqlToGremlin	janus	0.1	7	20.4710	1628132
GqlToGremlin	janus	0.1	1	FAILED	
GqlToGremlin	janus	0.1	3	FAILED	
GqlToGremlin	janus	0.1	5	21.6670	1079722
GqlToGremlin	janus	0.1	9	FAILED	
GqlToGremlin	janus	0.1	2	FAILED	
GqlToGremlin	janus	0.1	4	11.8560	784511
GqlToGremlin	janus	0.1	6	FAILED	
GqlToGremlin	janus	0.1	5	21.3940	1079722
GqlToGremlin	janus	0.1	7	19.8090	1628132
GqlToGremlin	janus	0.1	1	FAILED	
GqlToGremlin	janus	0.1	8	27.9350	537142
GqlToGremlin	janus	0.1	3	FAILED	
GqlToGremlin	janus	0.1	9	FAILED	
GqlToGremlin	janus	0.1	3	FAILED	
GqlToGremlin	janus	0.1	8	27.9920	537142
GqlToGremlin	janus	0.1	6	FAILED	
GqlToGremlin	janus	0.1	1	FAILED	
GqlToGremlin	janus	0.1	2	FAILED	
GqlToGremlin	janus	0.1	7	20.5210	1628132
GqlToGremlin	janus	0.1	5	20.1080	1079722
GqlToGremlin	janus	0.1	4	12.1250	784511
GqlToGremlin	janus	0.1	9	FAILED	
GqlToGremlin	janus	0.1	2	FAILED	
GqlToGremlin	janus	0.1	5	20.9200	1079722
GqlToGremlin	janus	0.1	3	FAILED	
GqlToGremlin	janus	0.1	7	20.4760	1628132
GqlToGremlin	janus	0.1	6	FAILED	
GqlToGremlin	janus	0.1	9	FAILED	
