GqlToGremlin		0.1	8	26.5500	537142
GqlToGremlin		0.1	4	8.7130	784511
GqlToGremlin		0.1	5	18.9570	1079722
GqlToGremlin		0.1	3	7.4190	30456
GqlToGremlin		0.1	1	9.4840	8773828
GqlToGremlin		0.1	7	16.9560	1628132
GqlToGremlin		0.1	2	9.5290	82990
GqlToGremlin		0.1	4	8.7930	784511
GqlToGremlin		0.1	8	24.8690	537142
GqlToGremlin		0.1	2	9.3730	82990
GqlToGremlin		0.1	7	17.0890	1628132
GqlToGremlin		0.1	1	9.9880	8773828
GqlToGremlin		0.1	3	7.4420	30456
GqlToGremlin		0.1	5	18.8680	1079722
GqlToGremlin		0.1	2	9.3930	82990
GqlToGremlin		0.1	4	8.3240	784511
GqlToGremlin		0.1	5	18.9530	1079722
GqlToGremlin		0.1	7	17.0550	1628132
GqlToGremlin		0.1	1	9.6810	8773828
GqlToGremlin		0.1	8	24.5490	537142
GqlToGremlin		0.1	3	7.7570	30456
GqlToGremlin		0.1	3	7.7580	30456
GqlToGremlin		0.1	8	24.5630	537142
GqlToGremlin		0.1	1	9.5650	8773828
GqlToGremlin		0.1	2	9.5460	82990
GqlToGremlin		0.1	7	17.5110	1628132
GqlToGremlin		0.1	5	18.6170	1079722
GqlToGremlin		0.1	4	8.7050	784511
GqlToGremlin		0.1	2	9.4430	82990
GqlToGremlin		0.1	5	19.2210	1079722
GqlToGremlin		0.1	3	7.5160	30456
GqlToGremlin		0.1	7	16.9070	1628132
GqlToGremlin		0.1	1	9.6160	8773828
GqlToGremlin		0.1	8	25.0570	537142
GqlToGremlin		0.1	4	8.6200	784511
GqlToGremlin		0.1	3	7.6790	30456
GqlToGremlin		0.1	1	9.5880	8773828
GqlToGremlin		0.1	2	9.3940	82990
GqlToGremlin		0.1	4	8.5470	784511
GqlToGremlin		0.1	7	17.4040	1628132
GqlToGremlin		0.1	8	25.2150	537142
GqlToGremlin		0.1	5	19.0140	1079722
GqlToGremlin		0.1	7	17.7830	1628132
GqlToGremlin		0.1	4	8.7800	784511
GqlToGremlin		0.1	1	9.5990	8773828
GqlToGremlin		0.1	5	18.3640	1079722
GqlToGremlin		0.1	3	7.4360	30456
GqlToGremlin		0.1	2	9.7800	82990
GqlToGremlin		0.1	8	25.1740	537142
GqlToGremlin		0.1	4	8.5750	784511
GqlToGremlin		0.1	3	7.4820	30456
GqlToGremlin		0.1	8	25.3750	537142
GqlToGremlin		0.1	5	18.5730	1079722
GqlToGremlin		0.1	7	17.7480	1628132
GqlToGremlin		0.1	1	9.8430	8773828
GqlToGremlin		0.1	2	10.1040	82990
GqlToGremlin		0.1	5	19.3560	1079722
GqlToGremlin		0.1	3	7.7770	30456
GqlToGremlin		0.1	4	8.4610	784511
GqlToGremlin		0.1	7	17.0540	1628132
GqlToGremlin		0.1	2	9.7790	82990
GqlToGremlin		0.1	1	9.7720	8773828
GqlToGremlin		0.1	8	24.5380	537142
GqlToGremlin		0.1	3	7.4000	30456
GqlToGremlin		0.1	5	19.1610	1079722
GqlToGremlin		0.1	2	9.6220	82990
GqlToGremlin		0.1	8	24.5470	537142
GqlToGremlin		0.1	4	8.4130	784511
GqlToGremlin		0.1	7	17.2660	1628132
GqlToGremlin		0.1	1	9.8670	8773828
