Gremlin	arcade	0.1	8	10.9370	537142
Gremlin	arcade	0.1	4	7.3240	784511
Gremlin	arcade	0.1	5	6.5840	1079722
Gremlin	arcade	0.1	3	FAILED	
Gremlin	arcade	0.1	1	FAILED	
Gremlin	arcade	0.1	6	FAILED	
Gremlin	arcade	0.1	7	9.8210	1628132
Gremlin	arcade	0.1	2	FAILED	
Gremlin	arcade	0.1	9	FAILED	
Gremlin	arcade	0.1	4	7.4230	784511
Gremlin	arcade	0.1	8	9.3310	537142
Gremlin	arcade	0.1	2	FAILED	
Gremlin	arcade	0.1	6	FAILED	
Gremlin	arcade	0.1	7	9.8030	1628132
Gremlin	arcade	0.1	1	FAILED	
Gremlin	arcade	0.1	3	FAILED	
Gremlin	arcade	0.1	5	6.7950	1079722
