Gremlin	arcade	0.1	8	9.7330	537142
Gremlin	arcade	0.1	4	7.3860	784511
Gremlin	arcade	0.1	5	6.7300	1079722
Gremlin	arcade	0.1	7	8.1850	1628132
Gremlin	arcade	0.1	4	7.4240	784511
Gremlin	arcade	0.1	8	8.9920	537142
Gremlin	arcade	0.1	7	8.0830	1628132
Gremlin	arcade	0.1	5	6.7430	1079722
Gremlin	arcade	0.1	4	7.4220	784511
Gremlin	arcade	0.1	5	6.7420	1079722
Gremlin	arcade	0.1	7	8.0790	1628132
Gremlin	arcade	0.1	8	9.0850	537142
Gremlin	arcade	0.1	8	8.9720	537142
Gremlin	arcade	0.1	7	8.0720	1628132
Gremlin	arcade	0.1	5	6.6320	1079722
Gremlin	arcade	0.1	4	7.3950	784511
Gremlin	arcade	0.1	5	6.7000	1079722
Gremlin	arcade	0.1	7	8.0830	1628132
Gremlin	arcade	0.1	8	8.9070	537142
Gremlin	arcade	0.1	4	7.5750	784511
Gremlin	arcade	0.1	4	7.9350	784511
Gremlin	arcade	0.1	7	8.3520	1628132
Gremlin	arcade	0.1	8	9.0820	537142
Gremlin	arcade	0.1	5	6.6550	1079722
Gremlin	arcade	0.1	7	8.0440	1628132
Gremlin	arcade	0.1	4	7.4750	784511
Gremlin	arcade	0.1	5	6.6280	1079722
Gremlin	arcade	0.1	8	9.0430	537142
Gremlin	arcade	0.1	4	7.3550	784511
Gremlin	arcade	0.1	8	9.1510	537142
Gremlin	arcade	0.1	5	6.7200	1079722
Gremlin	arcade	0.1	7	8.0000	1628132
Gremlin	arcade	0.1	5	6.7250	1079722
Gremlin	arcade	0.1	4	7.3790	784511
Gremlin	arcade	0.1	7	8.0170	1628132
Gremlin	arcade	0.1	8	8.8910	537142
Gremlin	arcade	0.1	5	6.6540	1079722
Gremlin	arcade	0.1	8	8.9170	537142
Gremlin	arcade	0.1	4	7.3780	784511
Gremlin	arcade	0.1	7	8.0330	1628132
